Timestep,dx,dy
0,-0.12991297797983403,-0.12991297797983403
1,-0.15076837124397713,-0.15076837124397713
2,-0.15622845760232495,-0.15622845760232495
3,-0.14808195767026167,-0.14808195767026167
4,-0.1217930223303707,-0.1217930223303707
5,-0.08688709774154946,-0.08688709774154946
6,-0.042592106066894786,-0.042592106066894786
7,0.006002115758097837,0.006002115758097837
8,0.05401020406133794,0.05401020406133794
9,0.09706739777558004,0.09706739777558004
10,0.12991775756644763,0.12991775756644763
11,0.1517272925362625,0.1517272925362625
12,0.15664721581742347,0.15664721581742347
13,0.1461062940736566,0.1461062940736566
14,0.12288566112771848,0.12288566112771804
15,0.08663074258245151,0.08663074258245196
16,0.04215776773730573,0.042157767737305285
17,-0.00634348735178536,-0.0063434873517849155
18,-0.05392360824381193,-0.05392360824381193
19,-0.09691241726236077,-0.09691241726236033
20,-0.1300200487941474,-0.1300200487941483
21,-0.15054339923532378,-0.15054339923532378
22,-0.15681653717850486,-0.1568165371785044
23,-0.14596930114635454,-0.14596930114635454
