Timestep,dx,dy
0,0.3204505729489921,3.1938169158122998
1,-0.0,3.0590844386886102
2,-0.28980203062552423,2.888353792383084
3,-0.5472891117236797,2.6998619498552907
4,-0.778099089576213,2.515382825511591
5,-0.9914956672024222,2.3451077814388057
6,-1.200242697556216,2.1970295209516855
7,-1.4169724964507755,2.071182955183238
8,-1.651461135717172,1.9606837444548617
9,-1.9085843550282695,1.853644992176524
10,-2.185873171397126,1.734602164199915
11,-2.4757982851574125,1.5896917974424534
12,-2.761739121343557,1.4056371277548283
13,-3.0244482629599823,1.1758436932499967
14,-3.2451345973028607,0.9009001393432073
15,-3.404232622058988,0.587150896622537
16,-3.4878950805854854,0.24734353658370709
17,-3.488822501069882,-0.1019154068447306
18,-3.407744212457958,-0.4427595646378865
19,-3.2521395575532623,-0.7587356546157357
20,-3.0371072495238516,-1.0375832148722215
21,-2.7814601607259557,-1.2729562547084083
22,-2.5051153695897956,-1.4651112288324832
23,-2.2283175124569814,-1.6219829049149468
