Timestep,dx,dy
0,0.2791167224427128,2.7818571251720603
1,-0.0,2.9469422984074116
2,-0.30980096572050303,3.0876760673185784
3,-0.645550811381184,3.184602132604163
4,-0.9962259511976724,3.220527669986597
5,-1.346040805702083,3.1836858919340747
6,-1.6766397218839992,3.069068424644041
7,-1.9701399346823567,2.879745557701917
8,-2.2118019628359398,2.6259438146587266
9,-2.3924389058372064,2.32357159651334
10,-2.5098041712713735,1.9916579809718336
11,-2.568936846005287,1.6494953796216238
12,-2.581324587117419,1.3138118841121629
13,-2.563676861694678,0.9967051862888874
14,-2.5329965603287223,0.7031994777821043
15,-2.506501618862994,0.43231319251359496
16,-2.4965457664437127,0.177042154321802
17,-2.5097395941148326,-0.07331445831082102
18,-2.545577720283932,-0.3307404584723427
19,-2.5952172262393582,-0.605473352595664
20,-2.645910973255566,-0.9039367359603804
21,-2.679767201818382,-1.226415703839107
22,-2.6787800758411877,-1.566678651343037
23,-2.627140907286134,-1.912284769382979
24,-2.5138414081076537,-2.2460782413379614
25,-2.334728756290018,-2.54879075862717
26,-2.0929740097129343,-2.801755740691454
27,-1.7986937490196047,-2.9898668142123306
28,-1.4673760469734314,-3.1040623746863694
29,-1.117224869787308,-3.142422295756778
30,-0.7665778580450153,-3.1110433326481104
31,-0.4308252439341443,-3.022347891731411
32,-0.12044643793248196,-2.8941883755849602
33,0.1605628736217626,-2.7458917341040907
34,0.41469293996970935,-2.5959560491854194
35,0.6499724063243969,-2.4590648732311133
36,0.877945121560636,-2.343776769416269
37,1.1110695214439241,-2.2515591303955063
38,1.3600407956801464,-2.1769950233406035
39,1.6306091035715045,-2.1079390668502715
40,1.9230191642202588,-2.0297330920726813
41,2.2305060447200953,-1.9264683407733778
42,2.5393578705528066,-1.7838501078353908
43,2.832194004273756,-1.5931073380876006
44,3.0885071568426388,-1.3511429117497638
45,3.2892065815668405,-1.0622941315512617
46,3.4186156562459824,-0.7371944937371638
47,3.4672092217917876,-0.3913251445515809
48,3.4325915822688478,-0.04252848565786426
49,3.3223903692740993,0.29182504309225
50,3.1478274497045136,0.5975949869068238
51,2.9275576118160846,0.8660093525413977
52,2.6818214527740722,1.094893868533357
53,2.4300347531026323,1.2887042773460904
54,2.1879305311614625,1.4573831370570984
55,1.9655030268764482,1.6143220721071052
56,1.7658366107901267,1.7736690406635456
57,1.58497461908122,1.947278945403103
58,1.413557550821655,2.142628539349323
59,1.2380807547082875,2.359749309026088
60,1.0453930312808681,2.5933137298188473
61,0.8234494438872547,2.829662970292423
62,0.5653220484419464,3.0514695107528076
63,0.26998999652366085,3.2381553866978106
64,-0.05668099371662559,3.3706028615495907
65,-0.40285124602316524,3.4329344637434427
66,-0.7523169442876947,3.4153191665154026
67,-1.087037181339749,3.315573080668646
68,-1.3899879076564736,3.1393893250027287
69,-1.6479015796914824,2.899499668296537
70,-1.8533687322834687,2.6136505264470697
71,-2.0057910833445107,2.301676202260531
72,-2.1115270343420978,1.9828534723685285
73,-2.1829986398852266,1.6732819264668004
74,-2.2357161173601976,1.3830072177753412
75,-2.2858784337498186,1.1154521506514137
76,-2.3476415933058923,0.8675645096031201
77,-2.430228345777641,0.6308568874496026
78,-2.5364780167006487,0.39368744719630855
79,-2.6609517383643104,0.14378221116329848
80,-2.7930746982563006,-0.12862354155165917
81,-2.915765899800702,-0.4288072985159047
82,-3.009897271792143,-0.7558001699714398
83,-3.05689502464147,-1.1020805051593268
84,-3.0412186922262077,-1.4541701206253907
85,-2.953949386830893,-1.7949384054885371
86,-2.7924699411130254,-2.1053566373992525
87,-2.562474286205667,-2.3682047135321755
88,-2.275908838969826,-2.570031067307638
89,-1.9507775398983092,-2.705104335841771
90,-1.6052219316900114,-2.7727699564286374
91,-1.2581511539993477,-2.7815777051627992
92,-0.9243328499864696,-2.7452670174863787
93,-0.6130716593366247,-2.6813640221476303
94,-0.327180715990386,-2.6084809463357983
95,-0.06301627840651032,-2.542718597367374
96,0.18809040179709857,-2.4957513656123123
97,0.43769523680284494,-2.472329157890046
98,0.6975453268896268,-2.4701632961131317
99,0.9765980320890691,-2.479411223761222
100,1.2792650783171289,-2.4861682000861105
101,1.6032523255302427,-2.472777900252483
102,1.9397575837766752,-2.422307062121228
103,2.2742733770413475,-2.321037444754593
104,2.5880165061320852,-2.1603490975195694
105,2.861370064929859,-1.9390338688639985
106,3.0764605539894583,-1.6630415508562983
107,3.219764686476005,-1.3445289828257667
108,3.2845202968803404,-1.000115552750402
109,3.271637377766148,-0.648132840943164
110,3.1894107637921665,-0.3057572029829155
111,3.0530497265941747,0.013512008361575623
112,2.8807931185706823,0.3019271504226015
113,2.6933108591751096,0.5583819851195949
114,2.508050390534369,0.7880097024708156
115,2.3383294447833234,1.0008514403154531
116,2.1910949035146023,1.2096224378275713
117,2.065952832221974,1.426858008241892
118,1.9560205976326626,1.6623872273514508
119,1.8481365628297812,1.9198405864453436
120,1.7283038772350525,2.1978430249612684
121,1.5812967750044264,2.4868633856718922
122,1.3954087734945642,2.771921878463446
123,1.1640199257477841,3.0337223084206877
124,0.8873692187368719,3.252168079631278
125,0.572405367566907,3.4087411488835744
126,0.23193992375587386,3.4894848615520253
127,-0.11731861215484872,3.4872591332774574
128,-0.45743767646939787,3.402781764168165
129,-0.7721243330394103,3.2445607680741038
130,-1.0492427135596958,3.0273737180327576
131,-1.2827743968590528,2.7704445987673845
132,-1.4734555221563004,2.4939888398738814
133,-1.6285677491565047,2.2166784873409386
134,-1.7602304583312602,1.9526116478202855
135,-1.8831124206758671,1.7096925519998294
136,-2.0117316816042643,1.4889822530602
137,-2.1571579693085186,1.2847711876390384
138,-2.3256661569880004,1.0868399973824203
139,-2.5148031853424073,0.8815705483898043
140,-2.717727834731156,0.6569184504176419
141,-2.91946082986994,0.4029840382753137
142,-3.1011430809629466,0.11531310442125045
143,-3.243052183333305,-0.20403947486769422
144,-3.3265868343123044,-0.5465170978062365
145,-3.3377854109755547,-0.8980558145427613
146,-3.269502970419089,-1.2412365833812573
147,-3.1221200066560177,-1.5578823926181864
148,-2.9037682610945943,-1.8319967031969393
149,-2.6289727129649103,-2.0523192434240674
150,-2.3161124113003786,-2.213875409439294
151,-1.9853187767999443,-2.3193155165598274
152,-1.6545974688081966,-2.377665811300105
153,-1.33789156476963,-2.40330692945013
154,-1.0430021149577364,-2.413173267866717
155,-0.7709745586415131,-2.4238137946874883
156,-0.5167491410693912,-2.4488843557474045
157,-0.2705452396106782,-2.496156910519148
158,-0.020438467252995772,-2.5665386818964877
159,0.2449130934293589,-2.65351847900081
160,0.5336339081637396,-2.7445682680087446
161,0.8484949997946899,-2.8223685991977727
162,1.1857544553598156,-2.8680360156413123
163,1.5350908863914112,-2.8639371503128697
164,1.881302074938071,-2.797435742186429
165,2.2056049173417684,-2.661312057758471
166,2.4892455673901916,-2.4564129911933823
167,2.7158452780073707,-2.19063307203516
168,2.8740523930451785,-1.8778973366370582
169,2.9600116860913603,-1.5363504396589034
170,2.9769967062012546,-1.1847706963667979
171,2.9351223312222454,-0.8400667414577344
172,2.8505830896824182,-0.5150671233285448
173,2.7420646235600934,-0.21641155595103465
174,2.628322872185182,0.0558350399507975
175,2.5248430190119864,0.3076217381120386
176,2.4418061045168806,0.5492164402563062
177,2.3823363191233176,0.7927619504891656
178,2.3424602087844195,1.0495654084974992
179,2.3111643916087243,1.3270938100593344
180,2.273547715358595,1.6273674069978978
181,2.2134754363287974,1.9462312045628278
182,2.114432857249002,2.271709383315062
183,1.965610273350763,2.5880186041930635
184,1.7607238834746304,2.874677648321529
185,1.502069262160377,3.113048640976433
186,1.1977187708866714,3.2856942561771145
187,0.8617501756613882,3.381150196799261
188,0.511560908784513,3.394992194777662
189,0.16520689823279147,3.3310174279886438
190,-0.16155684759055636,3.199975031211593
191,-0.4575659682078805,3.018454819845854
192,-0.7179290751770427,2.8064384629231047
193,-0.9443437817656346,2.5834789566527707
194,-1.144532133443405,2.366677643191603
195,-1.3304172867892008,2.167804732405857
196,-1.5155429617739813,1.991762783405797
197,-1.7122576331559571,1.8363463800723185
198,-1.9289843478801214,1.6930527938496485
199,-2.1684107269984856,1.5492013499644377
200,-2.4258629935023284,1.3900914208730404
201,-2.690563560928382,1.2026687520511672
202,-2.945505711629281,0.977261012400438
203,-3.1708586688530893,0.7102384561540916
204,-3.346711770127806,0.40474035166233174
205,-3.4558079086772584,0.07034317339504392
206,-3.486099187032978,-0.2782485924869805
207,-3.43305006057459,-0.6234612535709931
208,-3.3000347744152756,-0.9476808515820316
209,-3.0976590157786648,-1.2359793793611378
210,-2.842597833110951,-1.4786148024455545
211,-2.5541674526588514,-1.6721243303656366
212,-2.2529975533944064,-1.8205998878429166
213,-1.9561304999534457,-1.9337617712465356
214,-1.6757461966889757,-2.0256366432837
215,-1.4175194055874811,-2.1118538367954667
216,-1.1804258660798406,-2.206962861120964
217,-0.9572540095331494,-2.3211886479027006
218,-0.7367934792081609,-2.458731453483591
219,-0.5062978998307981,-2.6163757348284946
220,-0.25449774799466646,-2.784383217649486
221,0.026085038556709846,-2.9469105480228186
222,0.33713829480853147,-3.0849913045402735
223,0.6737408844608515,-3.1788929891720934
224,1.0247225818784265,-3.2116769110407244
225,1.374143856295599,-3.1715915388509286
226,1.7037451071862564,-3.054118123149947
227,1.9955758098243768,-2.8622281843108817
228,2.2350389353265627,-2.6063575660620253
229,2.4129982388476225,-2.3023867990501685
230,2.527377035510162,-1.9693979479426367
231,2.5834907666845948,-1.6267265377012143
232,2.5930138249818415,-1.2909926729898946
233,2.572384851600862,-0.9739690473546726
234,2.539232820777812,-0.6807814218996886
235,2.5101847584808867,-0.4101030500580845
236,2.497985971592136,-0.15493571833811406
237,2.5089531157033225,0.09552457393332799
238,2.542179689380322,0.3532076758305793
239,2.5897489416839634,0.6284189114692978
240,2.637748601115745,0.9273008179156815
241,2.668770135674591,1.25006991603979
242,2.664890316134812,1.590377126524386
243,2.6100910261473342,1.935448113845294
244,2.4938521548160217,2.268231906983122
245,2.3121153486359765,2.569398756394828
246,2.0680957805059133,2.8201755917443303
247,1.7721652286931713,3.0056809613766577
248,1.439559887071725,3.1163149152392817
249,1.0893816342426343,3.1522317393931845
250,0.7389766302429464,3.1175615905508516
251,0.40407034197266883,3.026145546681999
252,0.09482618800083388,2.895196823982953
253,-0.1848625285864889,2.7443809060191318
254,-0.437635981239908,2.592075251812399
255,-0.671713632499158,2.453218153870813
256,-0.8986568116656414,2.335915523176886
257,-1.1309546451127355,2.2416353234869133
258,-1.379081244369375,2.1645960904108965
259,-1.6491341453111783,2.0933357507517556
260,-1.9409539083450553,2.0126782593573416
261,-2.247269945457444,1.906479889234061
262,-2.555016503680867,1.7612820095873867
263,-2.8461821582205244,1.5679752119097883
264,-3.10039800958072,1.3237750480065493
265,-3.298464368287346,1.0331337035322727
