Timestep,x error,y error
0,0.0,0.0
1,0.0,0.0
2,-0.0011532214594751622,0.00056123680630904
3,0.0,0.0
4,0.002135672721941262,0.0023207899218107286
5,0.0,0.0
6,0.0,0.0
7,-0.003986701441537122,0.0004410517483286469
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0013405338970962077,0.0008984472786845998
12,0.0,0.0
13,-0.0019391857888919617,-0.0017443870838818043
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0008575785825719606,0.001908905759320234
18,0.002547013567298251,0.00170704772838981
19,-0.0035533256098467803,0.0009538660610441951
20,-0.0031787041406730054,0.0038732284994562605
21,0.0032668579241708073,0.0006329985610804556
22,0.0,0.0
23,-0.0007547418002111783,-0.0020623396627499346
24,0.0,0.0
25,0.002425817864391888,0.003627035040381088
26,-0.0013313523980578168,-0.0017817214514721513
27,0.002989572792426287,0.0013365852150517554
28,0.0,0.0
29,0.0,0.0
30,-0.0016582203943684704,0.0004451362364203959
31,0.0,0.0
32,0.0012744178579744414,-0.0024812230751116715
33,0.0006978071400496333,-0.0022006066415443115
34,-0.0014213309204045288,0.0003815447163049157
35,0.0,0.0
36,0.0,0.0
37,0.0008226798199402197,-0.0012274856727483296
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,-0.003064864238581322,-0.003832977208626076
42,-0.004735910524615861,0.010834427672987701
43,0.0,0.0
44,0.0,0.0
45,-0.0024882563989727657,-0.004113597880886388
46,0.0,0.0
47,-0.0002277086707245246,-0.0008196859562374925
48,-0.003061187789143105,-0.0009398681603389747
49,0.0,0.0
50,0.003740634593835779,0.0005058167801568203
51,-0.0024808970485921122,0.0016726218249392133
52,0.0,0.0
53,-0.0033035779718098013,0.002900106739334163
54,-0.0022972640822160884,0.00023919704479169468
55,0.0,0.0
56,-0.0005049963926637702,-0.00011609995256378625
57,-0.0030079307536006183,0.0004299688529503243
58,0.0,0.0
59,0.0,0.0
60,-0.0025157955952046507,-0.0014637677634734558
61,0.0009200148384955753,0.00239546533837931
62,0.0,0.0
