Timestep,dx,dy
0,-20.216456233692174,-65.35430703386679
1,0.0,-68.40972555511183
2,20.216456233692174,-65.35430703386679
3,38.627036641713914,-56.46098290683055
4,53.583743879501085,-42.52144146126681
5,63.75645092021986,-24.787205533208155
6,68.23398408296264,-4.838802357392945
7,66.61637866552014,15.541836621839192
8,59.048130542197235,34.53416962313621
9,46.205288777706215,50.44166810343097
10,29.23506617766001,61.84336260000542
11,9.653362185334686,67.72077370059101
12,-10.790647900868958,67.54888977597916
13,-30.270761547348137,61.343064705241936
14,-47.04687821873498,49.65764635944226
15,-59.62043737626434,33.536458357299026
16,-66.86828042761185,14.419558410096057
17,-68.14297913889801,-5.9853977448134765
18,-63.33066847061666,-25.855696145196912
19,-52.86121780249525,-43.416382213688294
20,-37.67360595035705,-57.10453263294121
21,-19.11542715632966,-65.68735553484004
22,1.1502758150285608,-68.40252260025784
23,21.313228073640676,-65.00749604169046
24,39.572333144581755,-55.80554347037274
25,54.2965595520665,-41.61864790377411
26,64.17063600355944,-23.714082470719912
27,68.31254065712889,-3.691208677051163
28,66.35228950570401,16.66138979439191
29,58.4649859465212,35.52567593730629
30,45.35517931615099,51.21655925312843
31,28.193929596586685,62.33241986664836
32,8.5142001147644,67.88031105508556
33,-11.926077505883093,67.36465622159066
34,-31.301034141784832,60.8315172766901
35,-47.875879513708995,48.860313000910466
36,-60.1767844439941,32.52975007188329
37,-67.10227644147837,13.293401450702467
38,-68.03372193188156,-7.130407130980742
39,-62.88791766362452,-26.91727767979712
40,-52.12452300649297,-44.29970797989199
41,-36.70499994911516,-57.724977301802184
42,-18.006728562993466,-65.99384632082598
43,2.3000302570991615,-68.36768159426316
44,22.401334224393135,-64.6344354870154
45,40.501593722222864,-55.127587755298336
46,54.98396647676693,-40.6963567932056
47,64.55478526200629,-22.62984148274967
48,68.35911734015804,-2.541869829992646
49,66.05713305693754,17.773159484350835
50,57.854461812477396,36.50056539489102
51,44.48474089897543,51.968555892792146
52,27.14013781276009,62.79359755528926
53,7.3711870458793305,68.00947416328036
54,-13.056209906563188,67.15026699356451
55,-32.31733451272539,60.29272646367758
56,-48.691647876006506,48.04941624567597
57,-60.716481350483235,31.513994777680278
58,-67.31769237485541,12.163522012787777
59,-67.90561442838074,-8.273481947483102
60,-62.42773018499725,-27.971440405892952
61,-51.373362729651035,-45.17079339882066
62,-35.729965784444886,-58.33517394740189
63,-16.894917408528396,-66.28864714406414
64,3.4493036221838986,-68.32075291559094
65,23.4854086332192,-64.24996930553316
66,41.423632036495746,-54.43992728996101
67,55.65620428918569,-39.76306967363687
68,64.9211933711305,-21.5395783853434
69,68.38696560085519,-1.3920207101624305
70,65.74393386701864,18.879882029269982
71,57.228192322792005,37.46530113605924
72,43.600426798303495,52.70405647344282
73,26.07796500094669,63.23491541197372
74,6.226036256785994,68.1171876862166
75,-14.182045763493369,66.91475445454651
76,-33.32328787341485,59.73502549640031
77,-49.48785992272666,47.21934461657273
78,-61.231828832420085,30.485700313217023
79,-67.50614083628179,11.028859194955775
80,-67.75033032948427,-9.413157068477828
81,-61.94258459185734,-29.01432404573075
82,-50.601692253217394,-46.02372786792429
83,-34.743589002654005,-58.926866583529986
84,-15.777738546748719,-66.56241843930344
85,4.5974903034689,-68.25214769549741
86,24.56203903735871,-63.84511587009416
87,42.332533975963784,-53.734989990809105
88,56.32158973141662,-38.824877491944115
89,65.27960561600487,-20.44665431696219
90,68.40638874997993,-0.24199240711926434
91,65.42263290832952,19.984285963737673
92,56.594868114013764,38.42542758767782
93,42.71165230480769,53.43414020578696
94,25.01313180124338,63.66974021960597
95,5.0802627292643265,68.21791196408851
96,-15.306411082021503,66.67238080289808
97,-34.3258087776877,59.17120443168367
98,-50.27169982127584,46.377720449264515
99,-61.731942741282516,29.450025507248878
