Timestep,x error,y error
0,-0.045467974320601456,-0.041146492896109166
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.01097205563214132,-0.0491251010583964
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,-0.000663081324045578,-0.075823515802389
10,0.0,0.0
11,0.0,0.0
12,0.05845278874012294,0.051627974881526484
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.00022220681118056973,0.004596073065221695
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.04210189295763911,0.011095835458516667
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,-0.003119944693793286,0.0014666804782201837
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,-0.004572493082569906,0.00160494614091089
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.002739822995700081,-0.000609658077165065
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,-0.001806952007605389,0.005014956489498346
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.001814309319485119,0.0007712635103036547
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,-0.036374317638951936,-0.0036994098974334477
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,-0.03786358830585357,-2.8039902430165853e-05
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,-0.015821937858877533,0.0027373275068756087
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0012817758171728144,0.0033049945443401896
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.01505069117543556,0.0065294929401478186
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.06149551920852048,0.005638092831559582
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.00010468990807410705,0.009409169910937543
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,-0.023002059935514296,-0.004520832400659813
87,0.0,0.0
88,0.0,0.0
