Timestep,dx,dy
0,-20.220148610707042,-65.36624348496015
1,0.0,-68.42222005441049
2,20.220148610707042,-65.36624348496015
3,38.634091566701734,-56.471295062092196
4,53.59696618507299,-42.53193403703052
5,63.77218343936118,-24.793322015224994
6,68.25082147659386,-4.839996378540766
7,66.63281689941418,15.545671719913429
8,59.062701237877526,34.542691262543414
9,46.21669037832283,50.45411507150249
10,29.2422802121867,61.85862304615361
11,9.655744245552386,67.73748445461091
12,-10.793310597305119,67.56555811598298
13,-30.2782311496957,61.358201698059645
14,-47.05848748966259,49.66989986258722
15,-59.63945145852708,33.54715376655914
16,-66.88960598375955,14.424157079308621
17,-68.16471122051288,-5.987306601073232
18,-63.35086581557162,-25.863942014484355
19,-52.878076242118254,-43.430228517058254
20,-37.68184560215107,-57.11702205233408
21,-19.119607920546116,-65.70172211651503
22,1.1505273936057592,-68.41748302026122
23,21.317889522246496,-65.0217139302592
24,39.5809880698952,-55.817748785865454
25,54.30843483538586,-41.62775038170832
26,64.18467086119338,-23.71926901385122
27,68.3274813970443,-3.692015986928483
28,66.36680151610152,16.665033832355547
29,58.47777291273242,35.533445812052456
30,45.36509901656706,51.227760904886686
31,28.199078809940644,62.34380398136221
32,8.515755110238835,67.8927084118626
33,-11.928255631402747,67.37695940147245
34,-31.306750822832907,60.84262727325974
35,-47.888707202627884,48.8734044553552
36,-60.192907992612476,32.538465974729775
37,-67.12025558121813,13.296963236307569
38,-68.05195063973613,-7.1323176263172305
39,-62.90476762341095,-26.924489797216726
40,-52.138489061486936,-44.31157748242512
41,-36.71483455321847,-57.740443922137906
42,-18.011553220311495,-66.0115284718332
43,2.3006465188355887,-68.38599978205428
44,22.404424598640674,-64.64335212532507
45,40.50718111630259,-55.135192877199614
46,54.991551785406365,-40.701971055809004
47,64.56369091217563,-22.632963380697515
48,68.36854781665092,-2.542220493439051
49,66.0662459633752,17.775611379127174
50,57.86244312006825,36.50560082743209
51,44.48996056173703,51.974653676672325
52,27.14332232870473,62.8009655065508
53,7.372051951681964,68.0174541247807
54,-13.057741870362003,67.15814613910914
55,-32.32112650036208,60.29980097266106
56,-48.69736116051897,48.05505417328049
57,-60.72360558118158,31.517692504624083
58,-67.33333811039775,12.166349014753555
59,-67.9213968066487,-8.275404840351204
60,-62.44223941314405,-27.977941427301882
61,-51.38530274153844,-45.18129183188964
62,-35.73827001437135,-58.348731998371825
63,-16.898844064366678,-66.30405371262118
64,3.450105296905269,-68.33663177885052
65,23.49086702728495,-64.26490205193153
66,41.43325956782045,-54.45258002173588
67,55.67454242981807,-39.77617119166101
68,64.9425842293334,-21.546675452465337
69,68.40949839497269,-1.3924793665130055
70,65.76559580966055,18.886102754096573
71,57.24704841713684,37.47764556324111
72,43.6147926856016,52.72142191206463
73,26.086557419270957,63.255750659122015
74,6.228034015764512,68.13904456556631
75,-14.186596380947112,66.9362255070739
76,-33.33398037419659,59.75419277692929
77,-49.503739177586525,47.23449596901862
78,-61.25147639481385,30.495482312390372
79,-67.52780164797619,11.032398044003678
80,-67.772069494682,-9.416177484401242
81,-61.96246021567596,-29.0236339218666
82,-50.6179289053758,-46.03849558076451
83,-34.75184875886651,-58.940875543637965
84,-15.781489462463577,-66.5782426349322
85,4.598583286381318,-68.26837359837984
86,24.567878285990016,-63.8602940686506
87,42.34259788762449,-53.747764661767
88,56.33497932685094,-38.83410751199297
89,65.29512484253023,-20.451515195900356
90,68.42976896732013,-0.24207511628103295
91,65.44499332530688,19.991116275317616
92,56.61421134117464,38.43856078860841
93,42.72625046927878,53.452403146343066
94,25.02168089246949,63.69150152569932
95,5.081999082387567,68.24122776305643
96,-15.311642570254337,66.69516836385907
97,-34.33754079401346,59.191428209684155
98,-50.29616876446583,46.400294060480945
99,-61.76198977381404,29.464359834586975
100,-67.71079617938827,9.896462096934972
101,-67.61119882201862,-10.555457125686223
102,-61.47209443701285,-30.06448880007284
103,-49.84187093528846,-46.88794922954914
104,-33.759421544527264,-59.52304879844143
105,-14.661343571231798,-66.8411316927611
106,5.746219702159864,-68.18649166352712
107,25.640059463923077,-63.44291951772264
108,43.24354907631202,-53.032180320352076
109,56.9842212398668,-37.88423439811945
110,65.63466263338998,-19.35220264587021
111,68.42215509038607,0.9085037330140897
112,65.09770021152427,21.088056179180118
113,55.95826165007141,39.3838753723893
114,41.820238233178486,54.16165027365711
115,23.946537486091003,64.10132626297978
116,3.9337638641748613,68.31502168708326
