Timestep,x error,y error
0,0.0,0.0
1,0.0,0.0
2,0.01691454612227261,-0.010454619404757892
3,0.005703676030176297,-0.0032927401815090462
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.012782754174427424,-0.018782742439057643
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,-0.008013839591001215,-0.014710002596011407
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,-0.007686937667525484,-0.0007047599980491981
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,-0.022037970087644965,0.00012774941204085621
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,-0.010173337007266525,0.004744249769316866
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.008223189340974102,0.01729623970043015
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.007339891432369683,0.011367669178838469
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.002912419778304809,-0.010722414135576841
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,-0.0014782661560879262,-0.0038814008534657773
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0030777617744135455,0.022074915130479766
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,-0.0028463398249343186,-0.0021300172802121153
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0022678709928811713,-0.007151970139107178
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,-0.00010104829731005793,-0.022748162905157798
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,-0.02598977386983492,0.003705191834086463
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0032833952236117625,0.005535938263633966
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,-0.005573304656461886,0.0004894741255458968
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,-0.004331925696082095,0.004434465239819829
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0010724268105555268,0.0007187562557025018
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,-0.0026957460679035705,0.0028627724798049314
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0023229816097902756,0.003780470436689498
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.005797334071740323,-0.002562897451172219
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.007552886198865849,0.0006149156300505609
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0028297990236900716,-0.00277292595948353
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0022036129241875813,-0.0009690344785582283
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0048350983092646516,0.002351128600496466
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.007549207950557246,-0.002278195219778567
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.002131994210060384,-0.000572318283891704
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.009743639687659567,-0.0023639536159514307
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.004456798280035201,-0.0034613443369675423
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,-0.0046936877542016475,0.0035249335967044715
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
