Timestep,dx,dy
0,-20.08696501782357,-64.9356971359579
1,0.0,-67.971544974056
2,20.07196924732666,-64.88721988663508
3,38.341307647933,-56.04333399465829
4,53.19078788095296,-42.20961077756742
5,63.288893448095855,-24.605428740540898
6,67.73359065374397,-4.803317035269834
7,66.12784793394161,15.427860675277103
8,58.58199892413868,34.26155356879326
9,45.840539786958345,50.04347672709566
10,29.004281755252208,61.355165151411825
11,9.577157616386653,67.18617940384736
12,-10.705465489169443,67.01565234745745
13,-30.042440109688485,60.88037609061813
14,-46.692020583075625,49.28309664123156
15,-59.170741918343545,33.28350494632603
16,-66.36391710337963,14.310796881204197
17,-67.62900122198737,-5.940252048167453
18,-62.87433811685405,-25.669392427683007
19,-52.48032527755171,-43.10354463383774
20,-37.398401280798005,-56.68738557103583
21,-18.975789479464595,-65.20751118444804
22,1.1418730814013676,-67.90284402810272
23,21.178132738441203,-64.59544163876816
24,39.321501239047734,-55.451816265133345
25,53.95239714327886,-41.35484529397316
26,63.763886094493074,-23.563769157820495
27,67.87953700575727,-3.667811701623769
28,65.96131208632745,16.56321342047073
29,58.12048405367707,35.316342737155274
30,45.08792627791385,50.91476833807021
31,28.02779833091559,61.965129320315924
32,8.464030632841098,67.48032984809927
33,-11.851503147268113,66.94342165988624
34,-31.105307211119012,60.45113475928256
35,-47.58056682121945,48.55892802929759
36,-59.805596104061244,32.32909687914165
37,-66.68836960301628,13.21140378894406
38,-67.59216993598793,-7.084129411479065
39,-62.479762931332054,-26.742579348645435
40,-51.78622478445002,-44.01219431871657
41,-36.46677740995974,-57.35033104966791
42,-17.88986141666175,-65.56553351164536
43,2.284808843201873,-67.91522981649534
44,22.253084009410735,-64.20669002952464
45,40.233557456333344,-54.76275784586888
46,54.62008704132287,-40.42703160109166
47,64.12756692325154,-22.4800790252447
48,67.91115397567656,-2.5252127313432964
49,65.62425479982168,17.65669039244525
50,57.47533638821511,36.261373949536214
51,44.19231735303961,51.62693696719593
52,26.958067005628706,62.37234394676117
53,7.321737113671225,67.55322961732719
54,-12.968621748678187,66.69978647666538
55,-32.10053225403161,59.88825005876293
56,-48.36499781658148,47.72707462536449
57,-60.31674111947439,31.3065155023296
58,-66.87449162767159,12.083440805986516
59,-67.4585429678047,-8.219011670033337
60,-62.01672357311114,-27.787284311850577
61,-51.03002553643476,-44.86890906427715
62,-35.49117615662353,-57.94530974882328
63,-16.782005712379746,-65.84562848919593
64,3.4262513211222863,-67.86415334145165
65,23.328451528345614,-63.820575492212434
66,41.14697420484922,-54.07633695520317
67,55.289856147492436,-39.50133557105117
68,64.49385990756113,-21.397797525237927
69,67.93681924100395,-1.382857954511384
70,65.31118484456209,18.755608198793283
71,56.916730291628326,37.26139780945795
72,43.363133308171804,52.41721686146986
73,25.936036772600826,62.890762042886216
74,6.192151316166178,67.74646275549993
75,-14.104860575559439,66.55057371614964
76,-33.1371285204866,59.401317918210395
77,-49.21139776761115,46.955555440879465
78,-60.88975941606004,30.31539304145466
79,-67.12902020087199,10.967246868493003
80,-67.3718455382259,-9.360570804015074
81,-61.61168575623599,-28.859328801242118
82,-50.33137674802195,-45.77786796293654
83,-34.55511575439089,-58.607206517492564
84,-15.692149184235685,-66.20133786082474
85,4.572550337385177,-67.88190085726426
86,24.433463797901553,-63.510904974627316
87,42.11093528521546,-53.4537027086422
88,56.02676234044512,-38.62164037824892
89,64.93788557757563,-20.33962193781392
90,68.04830089739772,-0.2407256461779252
91,65.07708723343016,19.878734058017255
92,56.29594844311487,38.22247427138916
93,42.48606024185278,53.15191469422818
94,24.881018813346387,63.33345287718613
95,5.053430076168425,67.85760233755781
96,-15.227376084491254,66.32811646661078
97,-34.14856669282335,58.86567258812741
98,-50.01936754149567,46.14493349410734
99,-61.42208725792816,29.302204922262742
100,-67.33815485001568,9.841997654039972
101,-67.23222008141471,-10.496290982832853
102,-61.12752700827445,-29.89596934914067
103,-49.56249400061641,-46.62512981119669
104,-33.57019101344112,-59.18940628856787
105,-14.579162843497427,-66.46646938310222
106,5.712718038927283,-67.78895014943151
107,25.4905725521886,-63.073034021806855
108,42.99143013669131,-52.722991612354335
109,56.65199130636263,-37.663361384483565
110,65.25199881649807,-19.23937525508894
111,68.00058294773555,0.902906132867956
112,64.69661116480337,20.958125500790242
113,55.61348378927975,39.14121793629005
114,41.56256953778551,53.82794194592042
115,23.79899473325406,63.70637621465515
116,3.9090385745572425,67.88563427218784
117,-16.3271294817788,66.00882339505719
118,-35.10484368780115,58.23564091490424
119,-50.746746758235076,45.26044207219123
120,-61.85559407731599,28.24226273613592
121,-67.43250890887032,8.700440235093515
122,-66.99189221025082,-11.615820940400384
123,-60.56708929917368,-30.894475426121563
124,-48.732008685008665,-47.41341843353577
125,-32.543842871175826,-59.69706198135321
126,-13.445763367474827,-66.63392606661802
