Timestep,dx,dy
0,-23.069226605749122,-74.5765381033166
1,0.0,-78.08230969009473
2,23.074900296211514,-74.59487960215338
3,44.092548301604246,-64.44989914880037
4,61.16946780681179,-48.541101390999145
5,72.78207501990114,-28.296183783961535
6,77.8934661003524,-5.5238030207004085
7,76.04683901909941,17.741996357629844
8,67.40720176741506,39.42295409324328
9,52.746008295961936,57.58208020397551
10,33.37351813898571,70.59777361079841
11,11.019831351634108,77.30690000592969
12,-12.318104071873465,77.11068527525718
13,-34.554934457333886,70.02485143910503
14,-53.7053483351487,56.6856143533764
15,-68.05790962491962,38.28253116656266
16,-76.33146596016026,16.46021140221056
17,-77.78058893942473,-6.831925570488426
18,-72.28766270302636,-29.512523506097356
19,-60.343131359695754,-49.561485035626305
20,-43.00157495584578,-65.18050975979617
21,-21.818494211281056,-74.97604812962263
22,1.3129335801040067,-78.07516050702316
23,24.328350977486455,-74.20392511192485
24,45.170520693206,-63.70019798716928
25,61.975293822764314,-47.504445099678634
26,73.2457830463568,-27.06777816098655
27,77.94922914806658,-4.211918752150327
28,75.7124500044375,19.011772633767205
29,66.70957009459116,40.53541672387042
30,51.7510517579036,58.43898863886839
31,32.16960035690732,71.12201332274694
32,9.714800986233037,77.45222145298358
33,-13.607729241920943,76.86349530147659
34,-35.714676295153915,69.4091427854711
35,-54.63375901626278,55.757149384306125
36,-68.67098783522826,37.12145958128311
37,-76.57561980019456,15.170132957085707
38,-77.63856459909307,-8.13706142978281
39,-71.7648695625636,-30.716789383969104
40,-59.48216658373324,-50.552838811444545
41,-41.9039885407307,-65.90128840000095
42,-20.55724692564442,-75.34138084240209
43,2.62578973516882,-78.05078041621904
44,25.574095505458175,-73.78878461115796
45,46.236824704450854,-62.93393363487295
46,62.7699748552548,-46.45916721358003
47,73.70391515819898,-25.83709185800236
48,78.04742226745022,-2.9021203855390403
49,75.42007931890952,20.292329321982134
50,66.0547604312296,41.674160077381806
51,50.782854848980435,59.32622236933326
52,30.982616764178225,71.68386475122736
53,8.415526322182837,77.64495954540303
54,-14.905995120290632,76.66402112830045
55,-36.890402439305554,68.82445526354334
56,-55.58176479163335,54.84865410477222
57,-69.3048291284544,35.97165011283635
58,-76.83978161432243,13.884052500182333
59,-77.51331517913387,-9.444064665676635
60,-71.26038644199645,-31.929010501525948
61,-58.63320872668779,-51.55412098757767
62,-40.779159282630054,-66.57883090435743
63,-19.282551443987327,-75.65673260187171
64,3.9367682559441532,-77.97602089027194
65,26.804206887999083,-73.32933808855084
66,47.27733804844525,-62.13300764048591
67,63.542149237682644,-45.39711142036226
68,74.11989751299629,-24.591527966347392
69,78.06906909950871,-1.5891004967803248
70,75.05184169004313,21.552861744683394
71,65.32536366486542,42.76623674782817
72,49.76941645259997,60.16111143825287
73,29.769234023112645,72.18565540917173
74,7.107315711096249,77.75900079448895
75,-16.18999765972807,76.38881837549029
76,-38.04133491613686,68.192554101045
77,-56.49162348770851,53.90205681920725
78,-69.8976562184365,34.80018547058813
79,-77.05472546254212,12.58886535216666
80,-77.33345498442648,-10.744625965309405
81,-70.70871223210982,-33.12043730620256
82,-57.762854416973624,-52.53701554600263
83,-39.65462468409712,-67.25622899813969
84,-18.00793523050653,-75.97107256463273
85,5.2469980756042025,-77.89443021639887
86,28.032026835314074,-72.8647975297198
87,48.313941569576144,-61.3275162817277
88,64.27959160050142,-44.310668094114114
89,74.49843744898288,-23.33414522497856
90,78.06678709700626,-0.2761667451079592
91,74.66833331569747,22.808518383958145
92,64.59300533221263,43.855811167600166
93,48.74966839866023,60.98796173020967
94,28.549161999648096,72.6705373181092
95,5.798269696272664,77.85932987399843
96,-17.46970664023696,76.09536470641875
97,-39.17431328353163,67.52910950425736
98,-57.38086731255011,52.93622123021046
99,-70.46234109893837,33.61497549754732
100,-77.24915006698168,11.290567070470278
